Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
H.W. Hill Landfill Gas Power Plant - Roosevelt,2013,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,89278,88822,0,136,320,0,0,0,0,,2,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
Michelsen Packaging - Yakima,2014,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10601,0,10590,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
"Interfor US, Inc. - Tacoma",2012,Wood Products,Lumber Mills,321113,Sawmills,Simpson Lumber Company LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,12269,0,12256,6,7,0,0,0,0,,1,"(47.260211, -122.426476)",POINT (-122.42647600000001 47.260211)
Lamb Weston - Richland,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,95112,11437,65750,17848,78,0,0,0,0,,2,"(46.309314, -119.297267)",POINT (-119.29726700000002 46.309314)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2012,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Fabricated Products LLC,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,108364,0,108252,51,61,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
Pettit Oil Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,,,NA,,,,697411,34092,663319,,,,,,,Incomplete report.,,,
Northwest Pipeline C/S - Sumner,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc.,Sumner,Pierce,Puget Sound Clean Air Agency,37486,0,36678,787,21,0,0,0,0,,2,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Northwest Pipeline C/S - Mount Vernon,2017,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,62345,0,60027,2284,34,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2019,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Ecology: Eastern Regional Office,105918,0,105673,185,59,0,0,0,0,,3,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Northwest Pipeline C/S - Mount Vernon,2012,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,29203,0,20885,8303,15,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Southern Counties Oil Co Ltd,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",,,,97613,3327,94286,,,,,,,,,,
REC Solar Grade Silicon - Moses Lake,2016,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,70588,0,70515,33,40,0,0,0,0,,2,"(47.138359, -119.200383)",POINT (-119.200383 47.138359)
Darling Ingredients Inc - Tacoma,2016,Food Production,Meat Products,311613,Rendering and Meat Byproduct Processing,Darling Ingredients Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,10274,0,10264,5,6,0,0,0,0,First year reporting.,1,"(47.250503, -122.406461)",POINT (-122.406461 47.250503)
Emerald City Renewables LLC LFGTE- Graham,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Emerald City Renewables LLC,Graham,Pierce,Puget Sound Clean Air Agency,17639,17549,0,27,63,0,0,0,0,,1,"(46.975533, -122.290871)",POINT (-122.29087100000001 46.975533)
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Sound Energy,Mount Vernon,Skagit,Northwest Clean Air Agency,163716,0,163548,77,92,0,0,0,0,,3,"(48.4553, -122.435)",POINT (-122.43499999999999 48.4553)
Imerys Minerals Quincy Plant - Quincy,2012,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22288,0,22265,11,13,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
Marathon Anacortes Refinery - Anacortes,2014,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1333624,0,1325196,3898,4530,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
Imerys Minerals Quincy Plant - Quincy,2015,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,19541,0,19521,9,11,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
United Parcel Service Co,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,UPS Inc.,,,,62975,0,62975,,,,,,,,,,
The Boeing Company: Boeing Plant 2 - Seattle,2016,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,20967,0,20945,10,12,0,0,0,0,,1,"(47.532524, -122.311623)",POINT (-122.31162300000001 47.532524)
"Associated Petroleum Products, Inc.",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,World Fuel Services Company,,,,2599118,88076,2511042,,,,,,,,,,
Gas Transmission Northwest Compressor Station 8 - Wallula,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,81465,0,75234,6189,42,0,0,0,0,,2,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
Wilson Oil Inc,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Aaron Wilcox,,,,1207292,49518,1157774,,,,,,,,,,
Seaport Sound Terminal LLC,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",,,,9446,3769,5677,,,,,,,,,,
Puget Sound Energy T&D - statewide,2015,Power Plants,Use of Electrical Equipment,221122,Electric Power Distribution,Puget Sound Energy,Bellevue,,,2864,0,0,0,0,0,0,2864,0,,1,,
"IPC (USA), Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,,,,33803,0,33803,,,,,,,,,,
Central Washington University - Ellensburg,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,12838,0,12822,7,9,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
Lamb Weston - Connell,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,39841,0,39800,19,22,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
Inland Empire Paper Company - Spokane,2013,Pulp and Paper,TMP Mills,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28038,18131,9501,159,247,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
Lamb Weston - Quincy,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,39693,0,39652,19,22,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2017,Waste,Municipal Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,27951,0,0,27951,0,0,0,0,0,,2,"(47.405083, -120.167444)",POINT (-120.167444 47.405083)
Northwest Pipeline C/S - Chehalis,2016,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,27923,0,26183,1725,15,0,0,0,0,,2,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
Seaport Sound Terminal LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",,,,14436,8114,6322,,,,,,,,,,
"El Oro Cattle Feeders, LLC - Moses Lake",2018,Food Production,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,26710,0,0,2068,24642,0,0,0,0,,2,"(47.052176, -119.093815)",POINT (-119.09381500000002 47.052176)
"RPMG, Inc.",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,"Renewable Products Marketing Group, LLC",,,,0,0,0,,,,,,,,,,
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2013,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Fabricated Products LLC,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,110966,0,110852,52,62,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
"Solvay Chemicals, Inc. - Longview",2015,Chemicals,Hydrogen Production,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,44254,0,44254,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
US Army Joint Base Lewis-McChord - Pierce Co.,2014,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,83587,0,60454,23093,40,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Naval Base Kitsap - Bremerton,2018,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,43240,0,43194,21,25,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Marathon Anacortes Refinery - Anacortes,2012,Refineries,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1272523,0,1263066,5013,4445,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
Spectrum Glass Company - Woodinville,2017,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,122,0,122,0,0,0,0,0,0,Last year reporting.  Facility shut down.,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Central Washington University - Ellensburg,2012,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13358,0,13344,6,7,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
Central Washington University - Ellensburg,2014,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13673,0,13658,7,8,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
Packaging Corporation of America - Wallula,2018,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,647844,527640,111357,6326,2520,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
"Vaagen Bros. Lumber, Inc. - Colville",2013,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,47081,46460,0,89,531,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
ExxonMobil Oil Corporation,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,,,,915143,53043,862100,,,,,,,,,,
Grays Harbor Energy Center - Elma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,60590,0,60528,28,33,0,0,0,0,,2,"(46.9688, -123.48)",POINT (-123.48 46.9688)
Cardinal FG Company - Winlock,2019,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,93971,0,93904,31,36,0,0,0,0,,2,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Avfuel Corporation,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,,,,67999,0,67999,,,,,,,,,,
Northwest Pipeline C/S - Sumas,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,82830,0,78810,3975,44,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
The Boeing Company - Renton,2015,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,17191,0,17174,8,10,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Northwest Pipeline Willard C/S - Cook,2014,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9442,0,8020,1418,4,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
"Interfor US, Inc. - Port Angeles",2017,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,40810,40272,0,77,461,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
Northwest Pipeline C/S - Sumas,2019,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,79135,0,75413,3680,42,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Darigold - Sunnyside,2014,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,18329,0,18310,9,10,0,0,0,0,,1,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Bonneville Power Administration - WA Only - statewide,2013,Power Plants,Use of Electrical Equipment,221121,Electric Bulk Power Transmission and Control,US Government,,,,42114,0,0,0,0,0,0,42114,0,,2,,
Bonneville Power Administration - WA Only - statewide,2018,Power Plants,Use of Electrical Equipment,221121,Electric Bulk Power Transmission and Control,US Government,,,,19350,0,0,0,0,0,0,19350,0,,1,,
"Associated Petroleum Products, Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,World Fuel Services Company,,,,1686102,58808,1627294,,,,,,,,,,
Wilson Oil Inc,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Aaron Wilcox,,,,1193047,47740,1145307,,,,,,,,,,
Okanogan County Central Landfill - Okanogan,2018,Waste,Municipal Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,14240,0,0,14240,0,0,0,0,0,,1,"(48.341148, -119.620109)",POINT (-119.62010900000001 48.341148)
The Boeing Company: Boeing Plant 2 - Seattle,2017,Manufacturing,Transportation,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,24064,0,24039,11,13,0,0,0,0,,1,"(47.532524, -122.311623)",POINT (-122.31162300000001 47.532524)
Frito Lay - Vancouver,2016,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,16373,0,16356,8,9,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
Valero Marketing and Supply Company,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,,,,111391,7758,103633,,,,,,,,,,
H.W. Hill Landfill Gas Power Plant - Roosevelt,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,92771,92297,0,142,333,0,0,0,0,,2,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
King County Solid Waste Cedar Hills Landfill - Maple Valley,2019,Waste,Municipal Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,72738,0,320,72417,1,0,0,0,0,,2,"(47.462625, -122.046025)",POINT (-122.046025 47.462625)
Wilson Oil Inc,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Aaron Wilcox,,,,1215034,49986,1165048,,,,,,,,,,
Phillips 66 Company,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,,,,3545937,202916,3343021,,,,,,,,,,
McCain Foods - Othello,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",McCain Foods USA Inc.,Othello,Adams,Ecology: Eastern Regional Office,63938,0,35432,28486,20,0,0,0,0,,2,"(46.840102, -119.172705)",POINT (-119.17270500000001 46.840102)
Vitol Inc.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Euromin Inc.,,,,0,0,0,,,,,,,Last year reporting.,,,
Cardinal FG Company - Winlock,2015,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,105009,0,104934,34,41,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Naval Air Station Whidbey Island - Oak Harbor,2018,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,14566,0,14550,7,9,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
